

Section,Variable Name,Variable Label,
Education Attendance   ,ATTWO,"Ever attend 2-year college as undergrad.",
Education Attendance   ,BREAK_ED,"Was respondent continuously enrolled in PSE?",
Education Attendance   ,COMBINST,"Combination of instit types attended",
Education Attendance   ,CONTIN,"Continuous enrollment",
Education Attendance   ,ENHSFLAG,"Enrolled in PSE while in high school",
Education Attendance   ,FY115,"College most likely to attend 82",
Education Attendance   ,HSBSTAT,"Postsecondary status",
Education Attendance   ,MISSTRN2,"Number of undergrad transcripts missing",
Education Attendance   ,MULTINST,"Multi-institutional attendance type",
Education Attendance   ,N2YR,"Number of 2-year colleges attended",
Education Attendance   ,N4YR,"Number of 4-year colleges attended",
Education Attendance   ,NOTH,"Number of trade and special schools attended",
Education Attendance   ,NUMSTAT2,"Number of states, undergraduate",
Education Attendance   ,OTHR_SCL,"Did respondent enroll in any PSE beyond highest degree?",
Education Attendance   ,PSE8206,"Enrollment status/institution type in 8206",
Education Attendance   ,PSE8207,"Enrollment status/institution type in 8207",
Education Attendance   ,PSE8208,"Enrollment status/institution type in 8208",
Education Attendance   ,PSE8209,"Enrollment status/institution type in 8209",
Education Attendance   ,PSE8210,"Enrollment status/institution type in 8210",
Education Attendance   ,PSE8211,"Enrollment status/institution type in 8211",
Education Attendance   ,PSE8212,"Enrollment status/institution type in 8212",
Education Attendance   ,PSE8301,"Enrollment status/institution type in 8301",
Education Attendance   ,PSE8302,"Enrollment status/institution type in 8302",
Education Attendance   ,PSE8303,"Enrollment status/institution type in 8303",
Education Attendance   ,PSE8304,"Enrollment status/institution type in 8304",
Education Attendance   ,PSE8305,"Enrollment status/institution type in 8305",
Education Attendance   ,PSE8306,"Enrollment status/institution type in 8306",
Education Attendance   ,PSE8307,"Enrollment status/institution type in 8307",
Education Attendance   ,PSE8308,"Enrollment status/institution type in 8308",
Education Attendance   ,PSE8309,"Enrollment status/institution type in 8309",
Education Attendance   ,PSE8310,"Enrollment status/institution type in 8310",
Education Attendance   ,PSE8311,"Enrollment status/institution type in 8311",
Education Attendance   ,PSE8312,"Enrollment status/institution type in 8312",
Education Attendance   ,PSE8401,"Enrollment status/institution type in 8401",
Education Attendance   ,PSE8402,"Enrollment status/institution type in 8402",
Education Attendance   ,PSE8403,"Enrollment status/institution type in 8403",
Education Attendance   ,PSE8404,"Enrollment status/institution type in 8404",
Education Attendance   ,PSE8405,"Enrollment status/institution type in 8405",
Education Attendance   ,PSE8406,"Enrollment status/institution type in 8406",
Education Attendance   ,PSE8407,"Enrollment status/institution type in 8407",
Education Attendance   ,PSE8408,"Enrollment status/institution type in 8408",
Education Attendance   ,PSE8409,"Enrollment status/institution type in 8409",
Education Attendance   ,PSE8410,"Enrollment status/institution type in 8410",
Education Attendance   ,PSE8411,"Enrollment status/institution type in 8411",
Education Attendance   ,PSE8412,"Enrollment status/institution type in 8412",
Education Attendance   ,PSE8501,"Enrollment status/institution type in 8501",
Education Attendance   ,PSE8502,"Enrollment status/institution type in 8502",
Education Attendance   ,PSE8503,"Enrollment status/institution type in 8503",
Education Attendance   ,PSE8504,"Enrollment status/institution type in 8504",
Education Attendance   ,PSE8505,"Enrollment status/institution type in 8505",
Education Attendance   ,PSE8506,"Enrollment status/institution type in 8506",
Education Attendance   ,PSE8507,"Enrollment status/institution type in 8507",
Education Attendance   ,PSE8508,"Enrollment status/institution type in 8508",
Education Attendance   ,PSE8509,"Enrollment status/institution type in 8509",
Education Attendance   ,PSE8510,"Enrollment status/institution type in 8510",
Education Attendance   ,PSE8511,"Enrollment status/institution type in 8511",
Education Attendance   ,PSE8512,"Enrollment status/institution type in 8512",
Education Attendance   ,PSE8601,"Enrollment status/institution type in 8601",
Education Attendance   ,PSE8602,"Enrollment status/institution type in 8602",
Education Attendance   ,PSE8603,"Enrollment status/institution type in 8603",
Education Attendance   ,PSE8604,"Enrollment status/institution type in 8604",
Education Attendance   ,PSE8605,"Enrollment status/institution type in 8605",
Education Attendance   ,PSE8606,"Enrollment status/institution type in 8606",
Education Attendance   ,PSE8607,"Enrollment status/institution type in 8607",
Education Attendance   ,PSE8608,"Enrollment status/institution type in 8608",
Education Attendance   ,PSE8609,"Enrollment status/institution type in 8609",
Education Attendance   ,PSE8610,"Enrollment status/institution type in 8610",
Education Attendance   ,PSE8611,"Enrollment status/institution type in 8611",
Education Attendance   ,PSE8612,"Enrollment status/institution type in 8612",
Education Attendance   ,PSE8701,"Enrollment status/institution type in 8701",
Education Attendance   ,PSE8702,"Enrollment status/institution type in 8702",
Education Attendance   ,PSE8703,"Enrollment status/institution type in 8703",
Education Attendance   ,PSE8704,"Enrollment status/institution type in 8704",
Education Attendance   ,PSE8705,"Enrollment status/institution type in 8705",
Education Attendance   ,PSE8706,"Enrollment status/institution type in 8706",
Education Attendance   ,PSE8707,"Enrollment status/institution type in 8707",
Education Attendance   ,PSE8708,"Enrollment status/institution type in 8708",
Education Attendance   ,PSE8709,"Enrollment status/institution type in 8709",
Education Attendance   ,PSE8710,"Enrollment status/institution type in 8710",
Education Attendance   ,PSE8711,"Enrollment status/institution type in 8711",
Education Attendance   ,PSE8712,"Enrollment status/institution type in 8712",
Education Attendance   ,PSE8801,"Enrollment status/institution type in 8801",
Education Attendance   ,PSE8802,"Enrollment status/institution type in 8802",
Education Attendance   ,PSE8803,"Enrollment status/institution type in 8803",
Education Attendance   ,PSE8804,"Enrollment status/institution type in 8804",
Education Attendance   ,PSE8805,"Enrollment status/institution type in 8805",
Education Attendance   ,PSE8806,"Enrollment status/institution type in 8806",
Education Attendance   ,PSE8807,"Enrollment status/institution type in 8807",
Education Attendance   ,PSE8808,"Enrollment status/institution type in 8808",
Education Attendance   ,PSE8809,"Enrollment status/institution type in 8809",
Education Attendance   ,PSE8810,"Enrollment status/institution type in 8810",
Education Attendance   ,PSE8811,"Enrollment status/institution type in 8811",
Education Attendance   ,PSE8812,"Enrollment status/institution type in 8812",
Education Attendance   ,PSE8901,"Enrollment status/institution type in 8901",
Education Attendance   ,PSE8902,"Enrollment status/institution type in 8902",
Education Attendance   ,PSE8903,"Enrollment status/institution type in 8903",
Education Attendance   ,PSE8904,"Enrollment status/institution type in 8904",
Education Attendance   ,PSE8905,"Enrollment status/institution type in 8905",
Education Attendance   ,PSE8906,"Enrollment status/institution type in 8906",
Education Attendance   ,PSE8907,"Enrollment status/institution type in 8907",
Education Attendance   ,PSE8908,"Enrollment status/institution type in 8908",
Education Attendance   ,PSE8909,"Enrollment status/institution type in 8909",
Education Attendance   ,PSE8910,"Enrollment status/institution type in 8910",
Education Attendance   ,PSE8911,"Enrollment status/institution type in 8911",
Education Attendance   ,PSE8912,"Enrollment status/institution type in 8912",
Education Attendance   ,PSE9001,"Enrollment status/institution type in 9001",
Education Attendance   ,PSE9002,"Enrollment status/institution type in 9002",
Education Attendance   ,PSE9003,"Enrollment status/institution type in 9003",
Education Attendance   ,PSE9004,"Enrollment status/institution type in 9004",
Education Attendance   ,PSE9005,"Enrollment status/institution type in 9005",
Education Attendance   ,PSE9006,"Enrollment status/institution type in 9006",
Education Attendance   ,PSE9007,"Enrollment status/institution type in 9007",
Education Attendance   ,PSE9008,"Enrollment status/institution type in 9008",
Education Attendance   ,PSE9009,"Enrollment status/institution type in 9009",
Education Attendance   ,PSE9010,"Enrollment status/institution type in 9010",
Education Attendance   ,PSE9011,"Enrollment status/institution type in 9011",
Education Attendance   ,PSE9012,"Enrollment status/institution type in 9012",
Education Attendance   ,PSE9101,"Enrollment status/institution type in 9101",
Education Attendance   ,PSE9102,"Enrollment status/institution type in 9102",
Education Attendance   ,PSE9103,"Enrollment status/institution type in 9103",
Education Attendance   ,PSE9104,"Enrollment status/institution type in 9104",
Education Attendance   ,PSE9105,"Enrollment status/institution type in 9105",
Education Attendance   ,PSE9106,"Enrollment status/institution type in 9106",
Education Attendance   ,PSE9107,"Enrollment status/institution type in 9107",
Education Attendance   ,PSE9108,"Enrollment status/institution type in 9108",
Education Attendance   ,PSE9109,"Enrollment status/institution type in 9109",
Education Attendance   ,PSE9110,"Enrollment status/institution type in 9110",
Education Attendance   ,PSE9111,"Enrollment status/institution type in 9111",
Education Attendance   ,PSE9112,"Enrollment status/institution type in 9112",
Education Attendance   ,PSE9201,"Enrollment status/institution type in 9201",
Education Attendance   ,PSE9202,"Enrollment status/institution type in 9202",
Education Attendance   ,PSE9203,"Enrollment status/institution type in 9203",
Education Attendance   ,PSE9204,"Enrollment status/institution type in 9204",
Education Attendance   ,PSE9205,"Enrollment status/institution type in 9205",
Education Attendance   ,PSE9206,"Enrollment status/institution type in 9206",
Education Attendance   ,PSESTART,"Type of start in postsecondary education",
Education Attendance   ,PSS80,"Postsecondary status (7/80-6/81)",
Education Attendance   ,PSS81,"Postsecondary status (7/81-6/82)",
Education Attendance   ,PSS82,"postsecondary status (7/82-6/83)",
Education Attendance   ,PSS83,"Postsecondary status (7/83-6/84)",
Education Attendance   ,PSS84,"Postsecondary status (7/84-6/85)",
Education Attendance   ,PSS85,"Postsecondary status (7/85-6/86)",
Education Attendance   ,PSS86,"Postsecondary status (7/86-6/87)",
Education Attendance   ,PSS87,"Postsecondary status (7/87-6/88)",
Education Attendance   ,PSS88,"Postsecondary status (7/88-6/89)",
Education Attendance   ,PSS89,"Postsecondary status (7/89-6/90)",
Education Attendance   ,PSS90,"Postsecondary status (7/90-6/91)",
Education Attendance   ,PSS91,"Postsecondary status (7/91-6/92)",
Education Attendance   ,PSS92,"Postsecondary status (7/92-6/93)",
Education Attendance   ,PSS93,"Postsecondary status (7/93-9/93)",
Education Attendance   ,PSSCHLA,"Number of schools attended before certificate",
Education Attendance   ,PSSCHLB,"Number of schools attended before associates degree",
Education Attendance   ,PSSCHLC,"Number of schools attended before bachelors degree",
Education Attendance   ,PSSCHLD,"Number of schools attended before masters degree",
Education Attendance   ,PSSCHLE,"Number of schools attended before professional degree",
Education Attendance   ,PSSCHLF,"Number of schools attended before doctorate",
Education Attendance   ,PTFTY1,"12 credits per term year 1 and term 1",
Education Attendance   ,RECTRAN2,"Number of undergrad transcripts received",
Education Attendance   ,SECTSRCE,"Match used to create TRUSECT",
Education Attendance   ,SOME_PSE,"Did respondent enroll in any PSE",
Education Attendance   ,TRANREQ2,"Number of undergrad transcripts requested",
Education Attendance   ,Y4203,"Number of postsecondary institutions attended",
Education Courses   ,ABROAD,"Studied abroad",
Education Courses   ,ACCINTHS,"Academic intensity HS curriculum",
Education Courses   ,ACINDEX,"Academic index",
Education Courses   ,AWCSCRD,"Credits in advanced western culture/society",
Education Courses   ,BREAKCR,"Credits completed 2/4-yr before interrupt",
Education Courses   ,BUSCRD,"Business credits",
Education Courses   ,BWCSCRD,"Basic western culture & society credits",
Education Courses   ,CDEGALL,"Credits and degrees at 2/4-yr inst. (all)",
Education Courses   ,CDEGCMP,"Credits and degrees at 2/4-yr institutions",
Education Courses   ,COMMCRD,"Basic communications credits",
Education Courses   ,COMPSCRD,"Computer science credits",
Education Courses   ,CRATE120,"Credit production rate to 120 credits",
Education Courses   ,CRATE30,"Credit production rate to 30 credits",
Education Courses   ,CRATE60,"Credit production rate to 60 credits",
Education Courses   ,CRATE90,"Credit production rate to 90 credits",
Education Courses   ,CRATEAA,"Credit production rate to associate's degre",
Education Courses   ,CRATEALL,"Credit prodctn rate through last enrollment",
Education Courses   ,CRATEBA,"Credit production rate to bachelor's degree",
Education Courses   ,CRATEFST,"Credit production rate, first year",
Education Courses   ,CRATELST,"Credit production rate, last year",
Education Courses   ,CRELCRD,"Computer-related credits",
Education Courses   ,EDCRD,"Education credits",
Education Courses   ,ENGINCRD,"Engineering credits",
Education Courses   ,ETHCRD,"Credits in ethics courses",
Education Courses   ,FLANCRD1,"Basic foreign language credits",
Education Courses   ,FLANCRD2,"Advanced foreign language credits",
Education Courses   ,FLANCRD3,"All foreign language credits",
Education Courses   ,FPACRD,"Arts credits",
Education Courses   ,HERSIDX2,"Hirshman index of pse courses studied (banded)",
Education Courses   ,HERSINDX,"Hirshman index of pse courses studied",
Education Courses   ,HISTCRD,"All history credits",
Education Courses   ,HMATH,"Highest math course taken in high school",
Education Courses   ,HUMCRD,"Humanities credits",
Education Courses   ,INTLCRD,"International studies credits",
Education Courses   ,MTHCRD1,"Pre-college math credits",
Education Courses   ,MTHCRD2,"Intermediate college math credits",
Education Courses   ,MTHCRD3,"Calculus & advanced math credits",
Education Courses   ,MTHCRD4,"Other math credits",
Education Courses   ,MWSCRD,"Minority and womens studies credits",
Education Courses   ,N120,"Academic year when earned 120th credit",
Education Courses   ,N30,"Academic year when earned 30th credit",
Education Courses   ,N60,"Academic year when earned 60th credit",
Education Courses   ,N90,"Academic year when earned 90th credit",
Education Courses   ,NNSE,"Second language background",
Education Courses   ,NWCSCRD,"Non-western culture & society credits",
Education Courses   ,OCC1CRD,"Credits in bus and legal support occupations",
Education Courses   ,OCC2CRD,"Credits in computer support occupations",
Education Courses   ,OCC3CRD,"Credits in electrical/comput tech occupations",
Education Courses   ,OCC4CRD,"Credits in construction tech and trades",
Education Courses   ,OCC5CRD,"Credits in industrial/mechan technols",
Education Courses   ,OCC6CRD,"Credits in sales and retail occupations",
Education Courses   ,OCC7CRD,"Credits in personal/food/home services",
Education Courses   ,OCC8CRD,"Credits in proective service occupations",
Education Courses   ,OCC9CRD,"Credits in medical/health support occupations",
Education Courses   ,PERSCRD,"Credits in personal service courses",
Education Courses   ,PETSPART,"Type of participation in PETS",
Education Courses   ,RELIGCRD,"Credits in religious studies and theology",
Education Courses   ,REMCRD,"All remedial course credits",
Education Courses   ,REMCRSE,"Number of postsecondary remedial courses taken",
Education Courses   ,REMENSTU,"Took remedial english by 1984-student report",
Education Courses   ,REMMASTU,"Took remedial math by 1984-student report",
Education Courses   ,REMMATH,"Number of postsecondary remedial math courses taken",
Education Courses   ,REMPROB,"Type and intensity of remedial work",
Education Courses   ,REMREAD,"Number of postsecondary remedial reading courses taken",
Education Courses   ,REMRESTU,"Special reading help by 1984-student report",
Education Courses   ,SCI1CRD,"Level 1 core science credits",
Education Courses   ,SCICRD,"All science credits",
Education Courses   ,SOCSCRD,"All social science credits",
Education Courses   ,SPTSCRD,"Sports related credits",
Education Courses   ,STATCRD,"Statistics credits",
Education Courses   ,TCRED,"Total credits",
Education Courses   ,TOTCOURS,"Total number of undergrad courses attempted",
Education Courses   ,WRITECRD,"Credits in advanced writing courses",
Education Courses   ,Y4103D,"During 9206 taking vocational/technical courses",
Education Courses   ,Y4103E,"During 9206 taking undergraduate college academic courses",
Education Courses   ,Y4103F,"During 9206 taking graduate/professional courses",
Education Dropout   ,DOQFLAG,"Dropout questionnaire flag",
Education Dropout   ,FD12A,"Expelled or suspended",
Education Dropout   ,FD12B,"Married or plan to",
Education Dropout   ,FD12C,"Pregnant",
Education Dropout   ,FD12D,"Poor grades/not doing well",
Education Dropout   ,FD12E,"Had to support my family",
Education Dropout   ,FD12F,"Offered job and chose to work",
Education Dropout   ,FD12G,"Enter military",
Education Dropout   ,FD12H,"Moved too far from school",
Education Dropout   ,FD12I,"School was not for me/did not like",
Education Dropout   ,FD12J,"School grounds too dangerous",
Education Dropout   ,FD12K,"Wanted to travel",
Education Dropout   ,FD12L,"Friends were dropping out",
Education Dropout   ,FD12M,"Did not get into desired program",
Education Dropout   ,FD12N,"Illness or disability",
Education Dropout   ,FD12O,"Could not get along with teacher",
Education Dropout   ,FD12P,"Could not get along with student",
Education Dropout   ,FD15,"No job when left high school",
Education Dropout   ,FD17,"Leaving not a good decision",
Education Dropout   ,FD58,"Marital status at Feb 82",
Education Dropout   ,FD64A,"How many children do you have?",
Education Dropout   ,FD7,"Grade when left high school",
Education Dropout   ,FD9,"High school program when left high school",
Education Dropout   ,HSDIPGED,"High school diploma/GED status",
Education Dropout   ,SB014,"Percent high school students who dropped out",
Education Dropout   ,TRSTTYPE,"Dropout status from high school transcripts",
Education Experiences   ,ACTHRUST,"Focus of pse education",
Education Experiences   ,ATHCOLL,"College varsity athletics",
Education Experiences   ,CMPHOM82,"Microcomputer in home 1982",
